NseSymbol,Symbol,InstrumentToken,ExchangeToken,Name,InstrumentType,Segment,Exchange
BANSWRAS,BANSWRAS,3714817,14511,BANSWARA SYNTEX,EQ,NSE,NSE
BARBEQUE,BARBEQUE,800513,3127,BARBEQUE NATION HOSP.,EQ,NSE,NSE
BARTRONICS,BARTRONICS-BZ,4587777,17921,,EQ,NSE,NSE
BASF,BASF,94209,368,BASF INDIA,EQ,NSE,NSE
BASML,BASML,3080705,12034,BANNARI AM SPIN MILL.,EQ,NSE,NSE
BATAINDIA,BATAINDIA,94977,371,BATA INDIA,EQ,NSE,NSE
BAYERCROP,BAYERCROP,4589313,17927,BAYER CROPSCIENCE,EQ,NSE,NSE
BBL,BBL,3522817,13761,BHARAT BIJLEE,EQ,NSE,NSE
BBTC,BBTC,97281,380,BOMBAY BURMAH TRADING COR,EQ,NSE,NSE
BCG,BCG,2261249,8833,BRIGHTCOM GROUP,EQ,NSE,NSE
BCLIND,BCLIND,643329,2513,BCL INDUSTRIES,EQ,NSE,NSE
BCP,BCP,2985473,11662,B.C. POWER CONTROLS,EQ,NSE,NSE
BDL,BDL,548865,2144,BHARAT DYNAMICS,EQ,NSE,NSE
BEARDSELL,BEARDSELL,4590849,17933,BEARDSELL,EQ,NSE,NSE
BECTORFOOD,BECTORFOOD,416769,1628,MRS BECTORS FOOD SPE,EQ,NSE,NSE
BEDMUTHA,BEDMUTHA,5170177,20196,BEDMUTHA INDUST,EQ,NSE,NSE
BEL,BEL,98049,383,BHARAT ELECTRONICS,EQ,NSE,NSE
BEML,BEML,101121,395,BEML,EQ,NSE,NSE
BEPL,BEPL,107265,419,BHANSALI ENG. POLYMERS LT,EQ,NSE,NSE
BERGEPAINT,BERGEPAINT,103425,404,BERGER PAINTS (I),EQ,NSE,NSE
BESTAGRO,BESTAGRO,590337,2306,BEST AGROLIFE,EQ,NSE,NSE
BFINVEST,BFINVEST,5404929,21113,BF INVESTMENT,EQ,NSE,NSE
BFUTILITIE,BFUTILITIE,3729153,14567,BF UTILITIES,EQ,NSE,NSE
BGRENERGY,BGRENERGY,3888385,15189,BGR ENERGY SYSTEMS,EQ,NSE,NSE
BHAGCHEM,BHAGCHEM,1577985,6164,BHAGIRADHA CHEM & INDS L,EQ,NSE,NSE
BHAGERIA,BHAGERIA,3430401,13400,BHAGERIA INDUSTRIES,EQ,NSE,NSE
BHAGYANGR,BHAGYANGR,5318657,20776,BHAGYANAGAR INDIA,EQ,NSE,NSE
BHAGYAPROP,BHAGYAPROP,5460993,21332,BHAGYANAGAR PRO,EQ,NSE,NSE
BHANDARI,BHANDARI,5006337,19556,BHANDARI HOSIERY EXP,EQ,NSE,NSE
BHARATFORG,BHARATFORG,108033,422,BHARAT FORGE,EQ,NSE,NSE
BHARATGEAR,BHARATGEAR,109057,426,BHARAT GEARS.,EQ,NSE,NSE
BHARATRAS,BHARATRAS,981505,3834,BHARAT RASAYAN,EQ,NSE,NSE
BHARATWIRE,BHARATWIRE,4127489,16123,BHARAT WIRE ROPES.,EQ,NSE,NSE
BHARTIARTL,BHARTIARTL,2714625,10604,BHARTI AIRTEL,EQ,NSE,NSE
BHEL,BHEL,112129,438,BHEL,EQ,NSE,NSE
BIGBLOC,BIGBLOC,4718337,18431,BIGBLOC CONSTRUCTION,EQ,NSE,NSE
BIL,BIL,2009089,7848,BHARTIYA INTERNATIONAL,EQ,NSE,NSE
BINDALAGRO,BINDALAGRO,120577,471,OSWAL CHEM. & FERT..,EQ,NSE,NSE
BIOCON,BIOCON,2911489,11373,BIOCON,EQ,NSE,NSE
BIOFILCHEM,BIOFILCHEM,1058817,4136,BIOFIL CHEM & PHARMA,EQ,NSE,NSE
BIRLACABLE,BIRLACABLE,122113,477,BIRLA CABLE,EQ,NSE,NSE
BIRLACORPN,BIRLACORPN,122881,480,BIRLA CORPORATION,EQ,NSE,NSE
BIRLAMONEY,BIRLAMONEY,3901185,15239,ADITYA BIRLA MONEY,EQ,NSE,NSE
BIRLATYRE,BIRLATYRE,4502017,17586,BIRLA TYRES,EQ,NSE,NSE
BKMINDST,BKMINDST-BZ,1481985,5789,,EQ,NSE,NSE
BLBLIMITED,BLBLIMITED,2081793,8132,BLB,EQ,NSE,NSE
BLISSGVS,BLISSGVS,4931841,19265,BLISS GVS PHARMA,EQ,NSE,NSE
BLKASHYAP,BLKASHYAP,3402241,13290,B.L.KASHYAP & SON,EQ,NSE,NSE
BLS,BLS-BE,4424449,17283,BLS INTL SERVS,EQ,NSE,NSE
BLUECOAST,BLUECOAST-BE,2189313,8552,BLUE COAST HOTELS,EQ,NSE,NSE
BLUEDART,BLUEDART,126721,495,BLUE DART EXPRESS,EQ,NSE,NSE
BLUESTARCO,BLUESTARCO,2127617,8311,BLUE STAR,EQ,NSE,NSE
BODALCHEM,BODALCHEM,6404353,25017,BODAL CHEMICALS,EQ,NSE,NSE
BOMDYEING,BOMDYEING,131329,513,BOMBAY DYEING & MFG. CO L,EQ,NSE,NSE
BOROLTD,BOROLTD,4966657,19401,BOROSIL,EQ,NSE,NSE
BORORENEW,BORORENEW,806145,3149,BOROSIL RENEWABLES,EQ,NSE,NSE
BOSCHLTD,BOSCHLTD,558337,2181,BOSCH,EQ,NSE,NSE
BPCL,BPCL,134657,526,BHARAT PETROLEUM CORP  LT,EQ,NSE,NSE
BPL,BPL-BE,1321729,5163,BPL,EQ,NSE,NSE
BRFL,BRFL-BZ,3788289,14798,,EQ,NSE,NSE
BRIGADE,BRIGADE,3887105,15184,BRIGADE ENTER.,EQ,NSE,NSE
BRITANNIA,BRITANNIA,140033,547,BRITANNIA INDUSTRIES,EQ,NSE,NSE
BRNL,BRNL,5550849,21683,BHARAT ROAD NETWORK,EQ,NSE,NSE
BROOKS,BROOKS,6434817,25136,BROOKS LAB,EQ,NSE,NSE
BSE,BSE,5013761,19585,BSE,EQ,NSE,NSE
BSHSL,BSHSL,207105,809,BOMBAY SUPER HYBRID SEEDS,EQ,NSE,NSE
BSL,BSL,143105,559,BSL,EQ,NSE,NSE
BSOFT,BSOFT,1790465,6994,BIRLASOFT,EQ,NSE,NSE
BURGERKING,BURGERKING,382465,1494,BURGER KING INDIA,EQ,NSE,NSE
BURNPUR,BURNPUR-BE,3890689,15198,BURNPUR CEMENT.,EQ,NSE,NSE
BUTTERFLY,BUTTERFLY-BE,698369,2728,BTRFLY GANDHI APPL,EQ,NSE,NSE
BVCL,BVCL-BE,3859713,15077,BARAK VALLEY CEM..,EQ,NSE,NSE
BYKE,BYKE,2027265,7919,THE BYKE HOSPITALITY,EQ,NSE,NSE
CADILAHC,CADILAHC,2029825,7929,CADILA HEALTHCARE,EQ,NSE,NSE
CALSOFT,CALSOFT-BE,2150401,8400,CALIFORNIA SOFTWARE CO LT,EQ,NSE,NSE
CAMLINFINE,CAMLINFINE,1591297,6216,CAMLIN FINE SCIENCES,EQ,NSE,NSE
CAMS,CAMS,87553,342,COMPUTER AGE MNGT SER,EQ,NSE,NSE
CANBK,CANBK,2763265,10794,CANARA BANK,EQ,NSE,NSE
CANDC,CANDC-BZ,2271745,8874,,EQ,NSE,NSE
CANFINHOME,CANFINHOME,149249,583,CAN FIN HOMES,EQ,NSE,NSE
CANTABIL,CANTABIL-BE,5161985,20164,CANTABIL RETAIL,EQ,NSE,NSE
CAPACITE,CAPACITE,5567745,21749,CAPACITE INFRAPROJECT,EQ,NSE,NSE
CAPLIPOINT,CAPLIPOINT,999937,3906,CAPLIN POINT LAB.,EQ,NSE,NSE
CAPTRUST,CAPTRUST,4978433,19447,CAPITAL TRUST,EQ,NSE,NSE
CARBORUNIV,CARBORUNIV,152321,595,CARBORUNDUM UNIVERSAL,EQ,NSE,NSE
CAREERP,CAREERP,5142017,20086,CAREER POINT,EQ,NSE,NSE
CARERATING,CARERATING,7452929,29113,CARE RATINGS,EQ,NSE,NSE
CARTRADE,CARTRADE,1384193,5407,CARTRADE TECH,EQ,NSE,NSE
CASTROLIND,CASTROLIND,320001,1250,CASTROL INDIA,EQ,NSE,NSE
CCCL,CCCL-BE,3838977,14996,CONS. CONST. CONSORT,EQ,NSE,NSE
CCHHL,CCHHL,1634561,6385,COUNTRY CLUB HOSP HOL,EQ,NSE,NSE
CCL,CCL,2931713,11452,CCL PRODUCTS (I),EQ,NSE,NSE
CDSL,CDSL,5420545,21174,CENTRAL DEPO SER (I),EQ,NSE,NSE
CEATLTD,CEATLTD,3905025,15254,CEAT,EQ,NSE,NSE
CEBBCO,CEBBCO,5177345,20224,COMMERCIAL ENG & CO.,EQ,NSE,NSE
CELEBRITY,CELEBRITY,3369473,13162,CELEBRITY FASHIONS,EQ,NSE,NSE
CENTENKA,CENTENKA,158465,619,CENTURY ENKA,EQ,NSE,NSE
CENTEXT,CENTEXT,2946817,11511,CENTURY EXTRUSIONS,EQ,NSE,NSE
CENTRALBK,CENTRALBK,3812865,14894,CENTRAL BANK OF INDIA,EQ,NSE,NSE
CENTRUM,CENTRUM,628225,2454,CENTRUM CAPITAL,EQ,NSE,NSE
CENTUM,CENTUM,3835393,14982,CENTUM ELECTRONICS,EQ,NSE,NSE
CENTURYPLY,CENTURYPLY,3406081,13305,CENTURY PLYBOARDS (I),EQ,NSE,NSE
CENTURYTEX,CENTURYTEX,160001,625,CENTURY TEXTILES,EQ,NSE,NSE
CERA,CERA,3849985,15039,CERA SANITARYWARE,EQ,NSE,NSE
